Indicador,IndicadorDetalhe,Data,DataReferencia,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
Balança comercial,Exportações,2001-11-06,2001,58.54,58.3,1.21,55.4,64.15,,0
Balança comercial,Exportações,2001-11-06,2002,61.17,61.0,2.13,56.6,66.0,,0
Balança comercial,Exportações,2001-11-06,2003,66.82,67.7,3.26,62.1,71.7,,0
Balança comercial,Exportações,2001-11-06,2004,67.28,67.28,2.23,65.7,68.85,,0
Balança comercial,Exportações,2001-11-06,2005,69.9,69.9,0.0,69.9,69.9,,0
Balança comercial,Exportações,2001-11-07,2001,58.48,58.4,1.15,55.4,64.15,,0
Balança comercial,Exportações,2001-11-07,2002,61.09,61.0,2.02,56.6,66.0,,0
Balança comercial,Exportações,2001-11-07,2003,66.41,66.0,2.84,62.1,71.7,,0
Balança comercial,Exportações,2001-11-07,2004,69.8,68.85,3.48,65.7,75.62,,0
Balança comercial,Exportações,2001-11-07,2005,74.95,74.95,7.14,69.9,80.0,,0
Balança comercial,Exportações,2001-11-08,2001,58.5,58.4,1.11,55.4,64.15,,0
Balança comercial,Exportações,2001-11-08,2002,61.11,61.0,1.96,56.6,66.0,,0
Balança comercial,Exportações,2001-11-08,2003,66.42,66.0,2.84,62.1,71.7,,0
Balança comercial,Exportações,2001-11-08,2004,71.15,72.0,3.41,65.7,75.62,,0
Balança comercial,Exportações,2001-11-08,2005,76.1,76.5,5.55,69.9,81.51,,0
Balança comercial,Exportações,2001-11-09,2001,58.4,58.41,0.76,55.4,60.0,,0
Balança comercial,Exportações,2001-11-09,2002,61.07,61.05,1.8599999999999999,56.6,65.4,,0
Balança comercial,Exportações,2001-11-09,2003,66.63,66.4,2.65,62.1,71.7,,0
Balança comercial,Exportações,2001-11-09,2004,71.44,72.1,3.13,65.7,75.62,,0
Balança comercial,Exportações,2001-11-09,2005,76.68,79.0,4.98,69.9,81.51,,0
Balança comercial,Exportações,2001-11-12,2001,58.45,58.5,0.75,55.4,60.0,,0
Balança comercial,Exportações,2001-11-12,2002,61.27,61.15,1.9500000000000002,56.6,66.5,,0
Balança comercial,Exportações,2001-11-12,2003,66.7,66.9,2.63,62.1,71.7,,0
Balança comercial,Exportações,2001-11-12,2004,71.48,72.05,3.03,65.7,75.62,,0
Balança comercial,Exportações,2001-11-12,2005,76.57,77.5,4.46,69.9,81.51,,0
Balança comercial,Exportações,2001-11-13,2001,58.51,58.5,0.86,55.4,62.0,,0
Balança comercial,Exportações,2001-11-13,2002,61.29,61.1,1.94,56.6,66.0,,0
Balança comercial,Exportações,2001-11-13,2003,66.8,66.8,2.56,62.1,71.7,,0
Balança comercial,Exportações,2001-11-13,2004,71.51,72.1,2.81,65.7,75.62,,0
Balança comercial,Exportações,2001-11-13,2005,77.3,79.0,4.02,69.9,81.51,,0
Balança comercial,Exportações,2001-11-14,2001,58.49,58.49,0.84,55.4,62.0,,0
Balança comercial,Exportações,2001-11-14,2002,61.17,61.0,1.92,56.6,66.0,,0
Balança comercial,Exportações,2001-11-14,2003,66.57,66.8,2.7,62.0,71.7,,0
Balança comercial,Exportações,2001-11-14,2004,71.14,72.0,3.05,65.7,75.62,,0
Balança comercial,Exportações,2001-11-14,2005,76.9,79.0,4.48,69.9,82.7,,0
Balança comercial,Exportações,2001-11-16,2001,58.47,58.48,0.8300000000000001,55.4,62.0,,0
Balança comercial,Exportações,2001-11-16,2002,61.17,61.05,1.92,56.6,66.0,,0
Balança comercial,Exportações,2001-11-16,2003,66.57,66.8,2.7,62.0,71.7,,0
Balança comercial,Exportações,2001-11-16,2004,71.43,72.05,3.25,65.7,77.0,,0
Balança comercial,Exportações,2001-11-16,2005,76.9,79.0,4.48,69.9,82.7,,0
Balança comercial,Exportações,2001-11-19,2001,58.48,58.44,0.8300000000000001,55.4,62.0,,0
Balança comercial,Exportações,2001-11-19,2002,61.22,61.1,1.9300000000000002,56.6,66.0,,0
Balança comercial,Exportações,2001-11-19,2003,66.73,66.8,2.76,62.0,71.7,,0
Balança comercial,Exportações,2001-11-19,2004,71.75,72.1,3.49,65.7,78.2,,0
Balança comercial,Exportações,2001-11-19,2005,76.9,79.0,4.48,69.9,82.7,,0
Balança comercial,Exportações,2001-11-20,2001,58.49,58.49,0.8300000000000001,55.4,62.0,,0
Balança comercial,Exportações,2001-11-20,2002,61.16,61.1,1.92,56.6,66.0,,0
Balança comercial,Exportações,2001-11-20,2003,66.64,66.8,2.7,62.0,71.7,,0
Balança comercial,Exportações,2001-11-20,2004,71.61,72.1,3.4,65.7,78.2,,0
Balança comercial,Exportações,2001-11-20,2005,76.61,78.35,4.25,69.9,82.7,,0
Balança comercial,Exportações,2001-11-21,2001,58.46,58.48,0.86,55.4,62.0,,0
Balança comercial,Exportações,2001-11-21,2002,61.17,61.1,1.9100000000000001,56.6,66.0,,0
Balança comercial,Exportações,2001-11-21,2003,66.59,66.8,2.68,62.0,71.7,,0
Balança comercial,Exportações,2001-11-21,2004,71.45,72.05,3.41,65.7,78.2,,0
Balança comercial,Exportações,2001-11-21,2005,76.24,77.18,4.25,69.9,82.7,,0
Balança comercial,Exportações,2001-11-22,2001,58.46,58.48,0.85,55.4,62.0,,0
Balança comercial,Exportações,2001-11-22,2002,61.21,61.1,1.88,56.6,66.0,,0
Balança comercial,Exportações,2001-11-22,2003,66.59,66.8,2.68,62.0,71.7,,0
Balança comercial,Exportações,2001-11-22,2004,71.45,72.05,3.41,65.7,78.2,,0
Balança comercial,Exportações,2001-11-22,2005,76.24,77.18,4.25,69.9,82.7,,0
Balança comercial,Exportações,2001-11-23,2001,58.45,58.48,0.85,55.4,62.0,,0
Balança comercial,Exportações,2001-11-23,2002,61.21,61.1,1.88,56.6,66.0,,0
Balança comercial,Exportações,2001-11-23,2003,66.4,66.8,2.81,62.0,71.7,,0
Balança comercial,Exportações,2001-11-23,2004,71.02,72.0,3.76,65.0,78.2,,0
Balança comercial,Exportações,2001-11-23,2005,75.63,76.0,4.63,68.3,82.7,,0
Balança comercial,Exportações,2001-11-26,2001,58.47,58.5,0.84,55.4,62.0,,0
Balança comercial,Exportações,2001-11-26,2002,61.23,61.1,1.8900000000000001,56.6,66.0,,0
Balança comercial,Exportações,2001-11-26,2003,66.4,66.8,2.81,62.0,71.7,,0
Balança comercial,Exportações,2001-11-26,2004,71.02,72.0,3.76,65.0,78.2,,0
Balança comercial,Exportações,2001-11-26,2005,75.63,76.0,4.63,68.3,82.7,,0
Balança comercial,Exportações,2001-11-27,2001,58.47,58.5,0.8200000000000001,55.4,62.0,,0
Balança comercial,Exportações,2001-11-27,2002,61.26,61.05,1.92,56.6,66.0,,0
Balança comercial,Exportações,2001-11-27,2003,66.4,66.8,2.81,62.0,71.7,,0
Balança comercial,Exportações,2001-11-27,2004,71.02,72.0,3.76,65.0,78.2,,0
Balança comercial,Exportações,2001-11-27,2005,75.63,76.0,4.63,68.3,82.7,,0
Balança comercial,Exportações,2001-11-28,2001,58.45,58.48,0.78,55.4,62.0,,0
Balança comercial,Exportações,2001-11-28,2002,61.15,61.0,2.03,55.02,66.0,,0
Balança comercial,Exportações,2001-11-28,2003,66.33,66.34,2.81,62.0,71.7,,0
Balança comercial,Exportações,2001-11-28,2004,71.02,72.0,3.76,65.0,78.2,,0
Balança comercial,Exportações,2001-11-28,2005,75.63,76.0,4.63,68.3,82.7,,0
Balança comercial,Exportações,2001-11-29,2001,58.46,58.48,0.79,55.4,62.0,,0
Balança comercial,Exportações,2001-11-29,2002,61.14,61.0,2.08,55.02,66.0,,0
Balança comercial,Exportações,2001-11-29,2003,66.54,66.8,2.8,62.0,71.7,,0
Balança comercial,Exportações,2001-11-29,2004,71.25,72.15,3.81,65.0,78.2,,0
Balança comercial,Exportações,2001-11-29,2005,75.54,75.0,4.49,68.3,81.83,,0
Balança comercial,Exportações,2001-11-30,2001,58.45,58.41,0.78,55.4,62.0,,0
Balança comercial,Exportações,2001-11-30,2002,61.16,61.0,2.07,55.02,66.0,,0
Balança comercial,Exportações,2001-11-30,2003,66.52,66.8,2.75,62.0,71.7,,0
Balança comercial,Exportações,2001-11-30,2004,71.26,72.15,3.81,65.0,78.2,,0
Balança comercial,Exportações,2001-11-30,2005,75.43,74.0,4.34,68.3,81.83,,0
Balança comercial,Exportações,2001-12-03,2001,58.44,58.4,0.78,55.4,62.0,,0
Balança comercial,Exportações,2001-12-03,2002,61.16,61.0,2.07,55.02,66.0,,0
Balança comercial,Exportações,2001-12-03,2003,66.52,66.8,2.75,62.0,71.7,,0
Balança comercial,Exportações,2001-12-03,2004,71.26,72.15,3.81,65.0,78.2,,0
Balança comercial,Exportações,2001-12-03,2005,75.43,74.0,4.34,68.3,81.83,,0
Balança comercial,Exportações,2001-12-04,2001,58.48,58.41,0.73,55.4,62.0,,0
Balança comercial,Exportações,2001-12-04,2002,61.17,61.0,2.05,55.02,66.0,,0
Balança comercial,Exportações,2001-12-04,2003,66.51,66.8,2.73,62.0,71.3,,0
Balança comercial,Exportações,2001-12-04,2004,71.26,72.15,3.81,65.0,78.2,,0
Balança comercial,Exportações,2001-12-04,2005,75.43,74.0,4.34,68.3,81.83,,0
Balança comercial,Exportações,2001-12-05,2001,58.47,58.39,0.72,55.4,62.0,,0
Balança comercial,Exportações,2001-12-05,2002,61.1,61.0,2.03,55.02,66.0,,0
Balança comercial,Exportações,2001-12-05,2003,66.39,66.34,2.65,62.0,71.3,,0
Balança comercial,Exportações,2001-12-05,2004,71.28,72.15,3.7800000000000002,65.0,78.2,,0
Balança comercial,Exportações,2001-12-05,2005,75.46,74.0,4.31,68.3,81.83,,0
Balança comercial,Exportações,2001-12-06,2001,58.45,58.39,0.76,55.4,62.0,,0
Balança comercial,Exportações,2001-12-06,2002,61.13,61.0,2.01,55.02,66.0,,0
Balança comercial,Exportações,2001-12-06,2003,66.27,66.0,2.71,62.0,71.3,,0
Balança comercial,Exportações,2001-12-06,2004,71.27,72.05,3.7800000000000002,65.0,78.2,,0
Balança comercial,Exportações,2001-12-06,2005,75.75,74.0,4.65,68.3,82.7,,0
Balança comercial,Exportações,2001-12-07,2001,58.5,58.41,0.64,56.4,62.0,,0
Balança comercial,Exportações,2001-12-07,2002,61.14,61.0,1.97,55.02,66.0,,0
Balança comercial,Exportações,2001-12-07,2003,66.35,66.17,2.7199999999999998,62.0,71.3,,0
Balança comercial,Exportações,2001-12-07,2004,71.3,72.0,3.7,65.0,78.2,,0
Balança comercial,Exportações,2001-12-07,2005,75.28,74.0,4.88,68.0,82.7,,0
Balança comercial,Exportações,2001-12-10,2001,58.48,58.4,0.63,56.4,62.0,,0
Balança comercial,Exportações,2001-12-10,2002,61.11,61.0,1.9300000000000002,55.02,66.0,,0
Balança comercial,Exportações,2001-12-10,2003,66.29,66.17,2.67,62.0,71.3,,0
Balança comercial,Exportações,2001-12-10,2004,71.22,72.0,3.63,65.0,78.2,,0
Balança comercial,Exportações,2001-12-10,2005,75.28,74.0,4.88,68.0,82.7,,0
Balança comercial,Exportações,2001-12-11,2001,58.5,58.43,0.62,56.4,62.0,,0
Balança comercial,Exportações,2001-12-11,2002,61.16,61.0,1.94,55.02,66.0,,0
Balança comercial,Exportações,2001-12-11,2003,66.44,66.34,2.77,62.0,71.5,,0
Balança comercial,Exportações,2001-12-11,2004,71.58,72.05,4.0,65.0,80.5,,0
Balança comercial,Exportações,2001-12-11,2005,76.19,74.0,6.04,68.0,90.8,,0
Balança comercial,Exportações,2001-12-12,2001,58.5,58.41,0.59,56.4,62.0,,0
Balança comercial,Exportações,2001-12-12,2002,61.11,61.0,1.98,55.02,66.0,,0
Balança comercial,Exportações,2001-12-12,2003,66.35,66.34,2.77,62.0,71.5,,0
Balança comercial,Exportações,2001-12-12,2004,71.6,72.0,3.92,65.0,80.5,,0
Balança comercial,Exportações,2001-12-12,2005,76.41,75.0,5.93,68.0,90.8,,0
Balança comercial,Exportações,2001-12-13,2001,58.5,58.41,0.59,56.4,62.0,,0
Balança comercial,Exportações,2001-12-13,2002,61.11,61.0,1.98,55.02,66.0,,0
Balança comercial,Exportações,2001-12-13,2003,66.35,66.34,2.77,62.0,71.5,,0
Balança comercial,Exportações,2001-12-13,2004,71.6,72.0,3.92,65.0,80.5,,0
Balança comercial,Exportações,2001-12-13,2005,76.41,75.0,5.93,68.0,90.8,,0
Balança comercial,Exportações,2001-12-14,2001,58.4,58.33,0.54,54.85,59.5,,0
Balança comercial,Exportações,2001-12-14,2002,61.02,61.0,1.92,55.02,66.0,,0
Balança comercial,Exportações,2001-12-14,2003,66.32,66.17,2.86,62.0,71.9,,0
Balança comercial,Exportações,2001-12-14,2004,71.76,72.0,4.19,65.0,80.5,,0
Balança comercial,Exportações,2001-12-14,2005,76.78,77.5,5.98,68.0,90.8,,0
Balança comercial,Exportações,2001-12-17,2001,58.38,58.3,0.54,54.85,59.5,,0
Balança comercial,Exportações,2001-12-17,2002,61.0,61.0,1.8900000000000001,55.02,66.0,,0
Balança comercial,Exportações,2001-12-17,2003,66.27,66.17,2.83,62.0,71.9,,0
Balança comercial,Exportações,2001-12-17,2004,71.68,72.0,4.13,65.0,80.5,,0
Balança comercial,Exportações,2001-12-17,2005,76.78,77.5,5.98,68.0,90.8,,0
Balança comercial,Exportações,2001-12-18,2001,58.41,58.31,0.56,54.85,59.71,,0
Balança comercial,Exportações,2001-12-18,2002,60.98,61.0,1.88,55.02,66.0,,0
Balança comercial,Exportações,2001-12-18,2003,66.22,66.0,2.81,62.0,71.9,,0
Balança comercial,Exportações,2001-12-18,2004,71.68,72.0,4.13,65.0,80.5,,0
Balança comercial,Exportações,2001-12-18,2005,76.78,77.5,5.98,68.0,90.8,,0
Balança comercial,Exportações,2001-12-19,2001,58.4,58.31,0.56,54.85,59.71,,0
Balança comercial,Exportações,2001-12-19,2002,60.97,61.0,1.8900000000000001,55.02,66.0,,0
Balança comercial,Exportações,2001-12-19,2003,66.22,66.0,2.81,62.0,71.9,,0
Balança comercial,Exportações,2001-12-19,2004,71.68,72.0,4.13,65.0,80.5,,0
Balança comercial,Exportações,2001-12-19,2005,76.78,77.5,5.98,68.0,90.8,,0
Balança comercial,Exportações,2001-12-20,2001,58.39,58.31,0.56,54.85,59.71,,0
Balança comercial,Exportações,2001-12-20,2002,60.82,60.95,1.81,55.02,66.0,,0
Balança comercial,Exportações,2001-12-20,2003,65.98,66.0,2.66,62.0,71.9,,0
Balança comercial,Exportações,2001-12-20,2004,71.17,72.0,3.94,65.0,80.5,,0
Balança comercial,Exportações,2001-12-20,2005,76.74,77.5,5.95,68.0,90.8,,0
Balança comercial,Exportações,2001-12-21,2001,58.39,58.32,0.56,54.85,59.71,,0
Balança comercial,Exportações,2001-12-21,2002,60.82,60.95,1.81,55.02,66.0,,0
Balança comercial,Exportações,2001-12-21,2003,65.98,66.0,2.66,62.0,71.9,,0
Balança comercial,Exportações,2001-12-21,2004,71.17,72.0,3.94,65.0,80.5,,0
Balança comercial,Exportações,2001-12-21,2005,76.74,77.5,5.95,68.0,90.8,,0
Balança comercial,Exportações,2001-12-24,2001,58.39,58.31,0.56,54.85,59.71,,0
Balança comercial,Exportações,2001-12-24,2002,60.78,60.6,1.82,55.02,66.0,,0
Balança comercial,Exportações,2001-12-24,2003,66.01,66.0,2.69,62.0,71.9,,0
Balança comercial,Exportações,2001-12-24,2004,71.31,72.0,3.9699999999999998,65.0,80.5,,0
Balança comercial,Exportações,2001-12-24,2005,77.01,79.0,6.01,68.0,90.8,,0
Balança comercial,Exportações,2001-12-26,2001,58.39,58.32,0.56,54.85,59.71,,0
Balança comercial,Exportações,2001-12-26,2002,60.78,60.6,1.82,55.02,66.0,,0
Balança comercial,Exportações,2001-12-26,2003,66.01,66.0,2.69,62.0,71.9,,0
Balança comercial,Exportações,2001-12-26,2004,71.31,72.0,3.9699999999999998,65.0,80.5,,0
Balança comercial,Exportações,2001-12-26,2005,77.01,79.0,6.01,68.0,90.8,,0
Balança comercial,Exportações,2001-12-27,2001,58.4,58.37,0.5700000000000001,54.85,59.71,,0
Balança comercial,Exportações,2001-12-27,2002,60.78,60.6,1.82,55.02,66.0,,0
Balança comercial,Exportações,2001-12-27,2003,65.99,66.0,2.68,62.0,71.9,,0
Balança comercial,Exportações,2001-12-27,2004,71.28,72.0,3.95,65.0,80.5,,0
Balança comercial,Exportações,2001-12-27,2005,76.98,79.0,5.99,68.0,90.8,,0
Balança comercial,Exportações,2001-12-28,2001,58.46,58.43,0.37,57.6,59.71,,0
Balança comercial,Exportações,2001-12-28,2002,60.71,60.5,1.76,55.02,66.0,,0
Balança comercial,Exportações,2001-12-28,2003,65.93,66.0,2.71,61.0,71.9,,0
Balança comercial,Exportações,2001-12-28,2004,71.12,72.0,4.19,63.3,80.5,,0
Balança comercial,Exportações,2001-12-28,2005,77.3,79.0,5.96,68.0,90.8,,0
Balança comercial,Exportações,2001-12-31,2001,58.45,58.41,0.36,57.6,59.71,,0
Balança comercial,Exportações,2001-12-31,2002,60.71,60.5,1.78,55.02,66.0,,0
Balança comercial,Exportações,2001-12-31,2003,66.03,66.0,2.68,61.0,71.9,,0
Balança comercial,Exportações,2001-12-31,2004,71.12,72.0,4.19,63.3,80.5,,0
Balança comercial,Exportações,2001-12-31,2005,77.3,79.0,5.96,68.0,90.8,,0
Balança comercial,Exportações,2002-01-02,2001,58.47,58.46,0.37,57.6,59.71,,0
Balança comercial,Exportações,2002-01-02,2002,60.72,60.5,1.77,55.02,66.0,,0
Balança comercial,Exportações,2002-01-02,2003,66.03,66.0,2.68,61.0,71.9,,0
Balança comercial,Exportações,2002-01-02,2004,71.12,72.0,4.19,63.3,80.5,,0
Balança comercial,Exportações,2002-01-02,2005,77.3,79.0,5.96,68.0,90.8,,0
Balança comercial,Exportações,2002-01-03,2001,58.46,58.41,0.37,57.6,59.71,,0
Balança comercial,Exportações,2002-01-03,2002,60.76,60.6,1.79,55.02,66.0,,0
Balança comercial,Exportações,2002-01-03,2003,66.03,66.0,2.68,61.0,71.9,,0
Balança comercial,Exportações,2002-01-03,2004,71.12,72.0,4.19,63.3,80.5,,0
Balança comercial,Exportações,2002-01-03,2005,77.3,79.0,5.96,68.0,90.8,,0
Balança comercial,Exportações,2002-01-04,2001,58.45,58.4,0.35000000000000003,57.8,59.71,,0
Balança comercial,Exportações,2002-01-04,2002,60.7,60.5,1.74,55.02,66.0,,0
Balança comercial,Exportações,2002-01-04,2003,65.75,66.0,2.56,61.0,71.9,,0
Balança comercial,Exportações,2002-01-04,2004,71.08,72.0,4.16,63.3,80.5,,0
Balança comercial,Exportações,2002-01-04,2005,77.44,79.0,5.83,68.0,90.8,,0
Balança comercial,Exportações,2002-01-07,2002,60.76,60.5,1.72,55.02,66.0,,0
Balança comercial,Exportações,2002-01-07,2003,65.89,66.0,2.65,61.0,71.9,,0
Balança comercial,Exportações,2002-01-07,2004,71.08,72.0,4.16,63.3,80.5,,0
Balança comercial,Exportações,2002-01-07,2005,77.44,79.0,5.83,68.0,90.8,,0
Balança comercial,Exportações,2002-01-08,2002,60.77,60.6,1.71,55.02,66.0,,0
Balança comercial,Exportações,2002-01-08,2003,65.82,66.0,2.64,61.0,71.9,,0
Balança comercial,Exportações,2002-01-08,2004,71.1,72.0,4.08,63.3,80.5,,0
Balança comercial,Exportações,2002-01-08,2005,77.33,79.0,5.7,68.0,90.8,,0
Balança comercial,Exportações,2002-01-08,2006,79.3,79.3,0.0,79.3,79.3,,0
Balança comercial,Exportações,2002-01-09,2002,60.77,60.6,1.71,55.02,66.0,,0
Balança comercial,Exportações,2002-01-09,2003,65.82,66.0,2.64,61.0,71.9,,0
Balança comercial,Exportações,2002-01-09,2004,71.1,72.0,4.08,63.3,80.5,,0
Balança comercial,Exportações,2002-01-09,2005,77.33,79.0,5.7,68.0,90.8,,0
Balança comercial,Exportações,2002-01-09,2006,79.3,79.3,0.0,79.3,79.3,,0
Balança comercial,Exportações,2002-01-10,2002,60.8,60.73,1.69,55.02,66.0,,0
Balança comercial,Exportações,2002-01-10,2003,65.75,66.0,2.69,61.0,71.9,,0
Balança comercial,Exportações,2002-01-10,2004,70.98,72.0,4.04,63.3,80.5,,0
Balança comercial,Exportações,2002-01-10,2005,77.08,79.0,5.67,68.0,90.8,,0
Balança comercial,Exportações,2002-01-10,2006,79.66,79.3,8.84,71.0,94.0,,0
Balança comercial,Exportações,2002-01-11,2002,60.73,60.7,1.67,55.02,66.0,,0
Balança comercial,Exportações,2002-01-11,2003,65.75,66.0,2.69,61.0,71.9,,0
Balança comercial,Exportações,2002-01-11,2004,71.06,72.0,4.08,63.3,80.5,,0
Balança comercial,Exportações,2002-01-11,2005,77.17,79.0,5.67,68.0,90.8,,0
Balança comercial,Exportações,2002-01-11,2006,80.05,79.65,7.97,71.0,94.0,,0
Balança comercial,Exportações,2002-01-14,2002,60.72,60.73,1.71,55.02,66.0,,0
Balança comercial,Exportações,2002-01-14,2003,65.74,65.75,2.7,61.0,71.9,,0
Balança comercial,Exportações,2002-01-14,2004,71.03,72.0,4.1,64.0,80.5,,0
Balança comercial,Exportações,2002-01-14,2005,77.08,78.5,5.8,68.0,90.8,,0
Balança comercial,Exportações,2002-01-14,2006,80.05,79.65,7.97,71.0,94.0,,0
Balança comercial,Exportações,2002-01-15,2002,60.72,60.73,1.71,55.02,66.0,,0
Balança comercial,Exportações,2002-01-15,2003,65.76,66.0,2.67,61.0,71.9,,0
Balança comercial,Exportações,2002-01-15,2004,71.08,72.0,4.03,64.0,80.5,,0
Balança comercial,Exportações,2002-01-15,2005,77.17,79.0,5.66,68.0,90.8,,0
Balança comercial,Exportações,2002-01-15,2006,80.05,79.65,7.97,71.0,94.0,,0
Balança comercial,Exportações,2002-01-16,2002,60.72,60.73,1.71,55.02,66.0,,0
Balança comercial,Exportações,2002-01-16,2003,65.76,66.0,2.67,61.0,71.9,,0
Balança comercial,Exportações,2002-01-16,2004,71.08,72.0,4.03,64.0,80.5,,0
Balança comercial,Exportações,2002-01-16,2005,77.17,79.0,5.66,68.0,90.8,,0
Balança comercial,Exportações,2002-01-16,2006,80.05,79.65,7.97,71.0,94.0,,0
Balança comercial,Exportações,2002-01-17,2002,60.76,60.77,1.74,55.02,66.0,,0
Balança comercial,Exportações,2002-01-17,2003,65.7,66.0,2.64,61.0,71.9,,0
Balança comercial,Exportações,2002-01-17,2004,71.08,72.0,4.03,64.0,80.5,,0
